Date,Open,High,Low,Close,Adj Close,Volume
7/21/22,110.370003,111.669998,110.07,111.620003,110.644241,4291400
7/22/22,111.93,111.93,108.75,109.120003,108.1661,6039300
7/25/22,109.610001,109.610001,107.68,109.279999,108.324692,5079500
7/26/22,107.480003,107.93,104.57,105.199997,104.28035,8459500
7/27/22,106.300003,108.379997,105.75,107.860001,106.917107,7437000
7/28/22,109.43,112.400002,108.029999,112.230003,111.248909,6773500
7/29/22,112.760002,115.209999,111.5,114.919998,113.915382,7560000
8/1/22,114,115.550003,113.25,114.300003,113.300812,4802900
8/2/22,113.57,113.779999,111.669998,111.769997,110.792923,6334400
8/3/22,113.419998,115.099998,112.580002,114.279999,113.280983,5986500
8/4/22,114.639999,115.349998,113.830002,114.480003,113.479233,4332000
8/5/22,112.790001,114.300003,112.57,113.870003,112.874565,4162200
8/8/22,114,115.580002,113.309998,114,113.003433,6071600
8/9/22,111.32,111.75,108.82,110.110001,109.147438,7377600
8/10/22,113.239998,113.830002,111.860001,113.139999,112.150955,6951800
8/11/22,114.879997,116.75,113.730003,114.099998,113.102554,5582100
8/12/22,114.389999,116.129997,113.769997,116.07,115.055336,4407900
8/15/22,115.449997,116.580002,114.849998,116.32,115.303154,4279000
8/16/22,115.940002,118.470001,115.809998,118.059998,117.027939,6189800
8/17/22,116.769997,117.980003,116.410004,117.040001,116.016846,5108400
8/18/22,116,116.68,115.300003,116.010002,114.995857,4750200
8/19/22,115.5,115.650002,113.029999,113.160004,112.170776,5967600
8/22/22,111.019997,111.68,109.839996,110.339996,109.37542,5802900
8/23/22,110.839996,112.830002,110.57,110.68,109.712456,4806700
8/24/22,110.68,112.43,110.019997,111.410004,110.436081,4769000
8/25/22,111.900002,113.339996,111.389999,113.220001,112.230255,5433700
8/26/22,113.309998,113.730003,108.230003,108.279999,107.333435,6203600
8/29/22,106.809998,108.540001,106.440002,107.879997,106.93692,4132400
8/30/22,108.970001,110.080002,107.129997,107.860001,106.917107,5129500
8/31/22,107.959999,108.010002,105.809998,106.449997,105.519432,8884800
9/1/22,105.800003,106.550003,103.800003,106.489998,105.559082,5590800
9/2/22,107.459999,108.150002,105.050003,105.739998,105.116707,7763800
9/6/22,105.440002,106.410004,103.68,105.150002,104.53019,9158900
9/7/22,105.080002,108.559998,105,108.480003,107.840561,7238300
9/8/22,107,108.790001,106.080002,108.730003,108.089081,5628300
9/9/22,109.379997,111.690002,109.300003,110.970001,110.31588,5171500
9/12/22,111.379997,113.360001,111.379997,112.379997,111.71756,4836900
9/13/22,108.839996,108.910004,105.440002,105.720001,105.096825,5955600
9/14/22,106.129997,107.360001,105.150002,107,106.369278,4888700
9/15/22,106.150002,108.139999,104.830002,105.5,104.87812,6598900
9/16/22,104.07,105.290001,103.25,104.120003,103.506256,8000800
9/19/22,103.690002,107.370003,103.330002,107.209999,106.578041,5162300
9/20/22,103.82,104.440002,101.709999,102.419998,101.816277,10006600
9/21/22,102.669998,103.629997,99.769997,99.790001,99.201775,6279300
9/22/22,99.790001,100.209999,97.830002,98.550003,97.969086,9638800
9/23/22,96.919998,97.540001,95.339996,97.019997,96.448097,9026500
9/26/22,96.089996,97.730003,95.709999,96.059998,95.493759,8521600
9/27/22,97.07,97.739998,95,96.290001,95.722404,9890300
9/28/22,97.110001,99.43,96.760002,98.699997,98.118195,9423300
9/29/22,98.110001,98.110001,94.480003,95.330002,94.768066,19339200
